question,response
What are your business hours?,"Our business hours are Monday to Friday, 9 AM to 5 PM."
How can I reset my password?,You can reset your password by clicking on 'Forgot Password' on the login page.
What is your return policy?,You can return items within 30 days of purchase for a full refund.
Do you offer international shipping?,"Yes, we offer international shipping to select countries."
How can I contact customer support?,You can reach our customer support at support@example.com or call us at (123) 456-7890.
Where can I find my order history?,You can find your order history in the 'My Orders' section of your account.
Do you have a loyalty program?,"Yes, we have a loyalty program that rewards you with points for every purchase."
Can I change my shipping address?,"Yes, you can change your shipping address during the checkout process."
What payment methods do you accept?,"We accept credit cards, PayPal, and Apple Pay."
How do I unsubscribe from your newsletter?,You can unsubscribe by clicking the link at the bottom of any newsletter email.
